,Company Name,Ticker,Field1,Disney business dep,"Category
",Brief Introduction
1,21st Century Fox,FOXA,Studio,Studio Entertainment,Competitor,
2,Amazon,AMZN,Consumer Product,Consumer Products & Interactive Media,,
3,AMC Networks Inc ,AMCX,Studio,Studio Entertainment,,
4,America Airline,AAL,Transportation,Parks and Resorts,Partner,
5,AT&T,T,Telecom Services,Media Networks,Competitor,
6,Boral Ltd,BOALF,Construction,Parks and Resorts,Partner,
7,BT Group,BT,Telecom Services,Media Networks,Partner,
8,CBS ,CBS,Media ,Media Networks,Competitor,
9,Cedar Fair Entertainment Company,FUN,Parks,Parks and Resorts,Competitor,
10,Clear Channel Outdoor Holdings Inc,CCO,Media ,Media Networks,Competitor,
11,Coca-Cola,KO,Consumer Product,Consumer Products & Interactive Media,Competitor,
12,Comcast,CMCSA,Studio,Studio Entertainment,Competitor,
13,Discovery Communications Inc ,DISCA,Media ,Media Networks,,
14,Electronic Arts Inc,EA,Gaming ,Consumer Products & Interactive Media,Vendor,
15,Footlocker,FL,Consumer Product,Consumer Products & Interactive Media,NBA related,
16,Globant,GLOB,Information Technology Service,Media Networks,Information Technology Services,The innovative company serves as a digital marketing agency and a research and development (R&D) lab in designing and marketing software solutions.Disney accounts for 8.7% of its revenues
17,Google,GOOGL,Internet Content & Information,Media Networks,Internet Content & Information,
18,Hershey ,HSY,Consumer Product,Consumer Products & Interactive Media,Competitor,
19,Imax Corp ,IMAX,Media ,Media Networks,,
20,Kelloggs,K,Consumer Product,Consumer Products & Interactive Media,Competitor,
21,McDonald's,MCD,Resort,Parks and Resorts,Vendor,
22,Microsoft,MSFT,Software - Infrastructure,Media Networks,Partner,
23,Netflix,NFLX,Media ,Media Networks,,
24,Nike,NKE,Consumer Product,Consumer Products & Interactive Media,Competitor (NFL),
25,Nokia,NOK,Communication Equipment,Consumer Products & Interactive Media,Partner,
26,Philip Morris,PM,Consumer Product,Consumer Products & Interactive Media,Competitor,
27,Philips_NV_ADR,PHG,Consumer Product,Consumer Products & Interactive Media,Vendor,
28,Point.360,PTSXQ,Media,Media Networks,Vendor,provides post-production services for motion picture and TV production companies.
29,SeaWorld Parks & Entertainment,SEAS,Parks,Parks and Resorts,Competitor,
30,Sinclair Broadcast Group Inc,SBGI,Media ,Media Networks,Competitor,
31,Six Flags Entertainment Corporation,SIX,Parks,Parks and Resorts,Competitor,
32,Sony,SNE,Studio,Studio Entertainment,Competitor,
33,Starbucks,SBUX,Consumer Product,Consumer Products & Interactive Media,Partner,
34,Target,TGT,Consumer Product,Consumer Products & Interactive Media,Partner,
35,Time Warner,TWX,Studio,Studio Entertainment,Competitor,
36,Tyson Foods,TSN,Consumer Product,Consumer Products & Interactive Media,Competitor,
37,Verizon ,VZ,Media ,Media Networks,Competitor,
38,Viacom,VIAB,Studio,Studio Entertainment,Competitor,
39,Nvidia,NVDA,Gaming,Consumer Products & Interactive Media,,
40,Intel,INTC,Gaming,Consumer Products & Interactive Media,,
41,AMD,AMD,Gaming,Consumer Products & Interactive Media,,
,Disney,DISCA,,,,
