Date,Open,High,Low,Close,Volume,Company_ticker,Company_name,Field,Dis_category,Rate_of_Return
10/24/17,26.62,26.7,26.21,26.23,5339512,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,-0.017234919
10/23/17,27.51,27.57,26.64,26.69,5644300,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,-0.029454545
10/20/17,27.55,27.64,27.31,27.5,8879892,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.004749726
10/19/17,27.07,27.41,26.96,27.37,5743185,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.006990434
10/18/17,26.96,27.39,26.84,27.18,8363299,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.011160714
10/17/17,26.56,26.92,26.55,26.88,4726561,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.007118771
10/16/17,26.54,26.87,26.42,26.69,5916967,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.006410256
10/13/17,26.29,26.58,26.08,26.52,9834312,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.014537108
10/12/17,25.8,26.41,25.78,26.14,13160657,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.001148985
10/11/17,26.63,26.63,25.8,26.11,15001790,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,-0.024654464
10/10/17,26.64,27.18,26.59,26.77,8585522,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.007148232
10/9/17,27,27.01,26.57,26.58,3955643,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,-0.015190811
10/6/17,26.96,27.02,26.73,26.99,6363379,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.00148423
10/5/17,27.2,27.3,26.85,26.95,8622541,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,-0.005535055
10/4/17,26.63,27.31,26.52,27.1,10967619,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.017649268
10/3/17,26.65,26.77,26.45,26.63,5030468,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.00112782
10/2/17,26.51,26.86,26.35,26.6,6693691,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.008339651
9/29/17,26.57,26.67,26.24,26.38,8903601,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,-0.006777108
9/28/17,27.12,27.22,26.5,26.56,8141870,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,-0.027818448
9/27/17,27.09,27.35,26.66,27.32,7966616,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.013729128
9/26/17,27.22,27.22,26.9,26.95,5256845,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,-0.006268437
9/25/17,26.88,27.32,26.81,27.12,7626216,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.008928571
9/22/17,26.67,26.93,26.66,26.88,2312099,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.004484305
9/21/17,26.9,26.95,26.66,26.76,3559569,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,-0.004093785
9/20/17,26.74,26.95,26.61,26.87,4043929,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.006367041
9/19/17,26.57,26.73,26.34,26.7,8031979,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.00754717
9/18/17,27,27.13,26.32,26.5,6101221,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,-0.020332717
9/15/17,26.41,27.11,26.34,27.05,9069023,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.020754717
9/14/17,26.47,26.58,26.23,26.5,8250264,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,-0.003384731
9/13/17,25.91,26.6,25.78,26.59,10226250,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.026640927
9/12/17,25.83,25.92,25.59,25.9,6045791,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,-0.006139678
9/11/17,25.94,26.07,25.81,26.06,6601011,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0.010469174
9/8/17,25.75,25.87,25.49,25.79,7757968,FOXA,21st_Century_Fox,Studio,Studio_Entertainment,0
